nroatc,codigoatc,codigoatc_L,descatc,label
1,A,A,A - TRACTO ALIMENTARIO Y METABOLISMO,A - TRACTO ALIMENTARIO Y METABOLISMO
2,A01,A01,A01 - PREPARADOS ESTOMATOLÓGICOS,A01 - PREPARADOS ESTOMATOLÓGICOS
3,A01A,A01A,A01A - PREPARADOS ESTOMATOLÓGICOS,A01A - PREPARADOS ESTOMATOLÓGICOS
4,A01AA,A01AA,A01AA - Agentes para la profilaxis de las caries,A01AA - Agentes para la profilaxis de las caries
5,A01AA01,A01AA01,A01AA01 - Fluoruro de sodio,A01AA01 - Fluoruro de sodio
6,A01AA02,A01AA02,A01AA02 - Monofluorfosfato de sodio,A01AA02 - Monofluorfosfato de sodio
7,A01AA03,A01AA03,A01AA03 - Olaflur,A01AA03 - Olaflur
8,A01AA04,A01AA04,A01AA04 - Fluoruro de estaño,A01AA04 - Fluoruro de estaño
9,A01AA30,A01AA30,A01AA30 - Combinaciones,A01AA30 - Combinaciones
10,A01AA51,A01AA51,"A01AA51 - Fluoruro de sodio, combinaciones","A01AA51 - Fluoruro de sodio, combinaciones"
11,A01AB,A01AB,A01AB - Antiinfecciosos y antisépticos para el tratamiento oral-local,A01AB - Antiinfecciosos y antisépticos para el tratamiento oral-local
12,A01AB02,A01AB02,A01AB02 - Peróxido de hidrógeno,A01AB02 - Peróxido de hidrógeno
13,A01AB03,A01AB03,A01AB03 - Clorhexidina,A01AB03 - Clorhexidina
14,A01AB04,A01AB04,A01AB04 - Amfotericina B,A01AB04 - Amfotericina B
15,A01AB05,A01AB05,A01AB05 - Polinoxilina,A01AB05 - Polinoxilina
16,A01AB06,A01AB06,A01AB06 - Domifeno,A01AB06 - Domifeno
17,A01AB07,A01AB07,A01AB07 - Oxiquinolina,A01AB07 - Oxiquinolina
18,A01AB08,A01AB08,A01AB08 - Neomicina,A01AB08 - Neomicina
19,A01AB09,A01AB09,A01AB09 - Miconazol,A01AB09 - Miconazol
20,A01AB10,A01AB10,A01AB10 - Natamicina,A01AB10 - Natamicina
21,A01AB11,A01AB11,A01AB11 - Varios,A01AB11 - Varios
22,A01AB12,A01AB12,A01AB12 - Hexetidina,A01AB12 - Hexetidina
23,A01AB13,A01AB13,A01AB13 - Tetraciclina,A01AB13 - Tetraciclina
24,A01AB14,A01AB14,"A01AB14 - Benzoxonio, cloruro de","A01AB14 - Benzoxonio, cloruro de"
25,A01AB15,A01AB15,"A01AB15 - Tibezonio, ioduro de","A01AB15 - Tibezonio, ioduro de"
26,A01AB16,A01AB16,A01AB16 - Mepartricina,A01AB16 - Mepartricina
27,A01AB17,A01AB17,A01AB17 - Metronidazol,A01AB17 - Metronidazol
28,A01AB18,A01AB18,A01AB18 - Clotrimazol,A01AB18 - Clotrimazol
29,A01AB19,A01AB19,A01AB19 - Perborato de sodio,A01AB19 - Perborato de sodio
30,A01AB21,A01AB21,A01AB21 - Clortetraciclina,A01AB21 - Clortetraciclina
31,A01AB22,A01AB22,A01AB22 - Doxiciclina,A01AB22 - Doxiciclina
32,A01AC,A01AC,A01AC - Corticosteroides para tratamiento oral-local,A01AC - Corticosteroides para tratamiento oral-local
33,A01AC01,A01AC01,A01AC01 - Triamcinolona,A01AC01 - Triamcinolona
